Altium Designer Pick and Place Locations
D:\ProjektiOtvoreni\eDoor\hw\DE-150824\Project Outputs for DE-150824\Pick Place for DE-150824.csv

========================================================================================================================
File Design Information:

Date:       22/08/24
Time:       17:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C1","C0603","TopLayer","0603","940.000","2580.000","0","Ceramic Chip Capacitor - Standard"
"C2","C0805","TopLayer","0805","937.000","2510.000","0","Ceramic Chip Capacitor - Standard"
"C3","1nF","TopLayer","VP31-2.5","690.000","2510.000","0","Dipped Radial Multilayer Ceramic Capacitor COG (NPO): 1pF, 50/63V"
"C4","C0805","TopLayer","0805","690.000","2380.000","180","Ceramic Chip Capacitor - Standard"
"C5","C0603","TopLayer","0603","1245.000","2480.000","180","Ceramic Chip Capacitor - Standard"
"C6","C0603","TopLayer","0603","1245.000","2420.000","180","Ceramic Chip Capacitor - Standard"
"C7","C0805","TopLayer","0805","570.000","2320.000","90","Ceramic Chip Capacitor - Standard"
"C8","20pF","TopLayer","0603","520.000","1980.000","0","Ceramic Chip Capacitor - Standard"
"C9","20pF","TopLayer","0603","1250.000","1980.000","180","Ceramic Chip Capacitor - Standard"
"C11","C0603","TopLayer","0603","1690.000","1345.000","90","Ceramic Chip Capacitor - Standard"
"C12","C0603","TopLayer","0603","530.000","1840.000","0","Ceramic Chip Capacitor - Standard"
"C13","C0805","BottomLayer","0805","750.000","1705.000","180","Ceramic Chip Capacitor - Standard"
"C14","C0603","TopLayer","0603","2105.000","2555.000","0","Ceramic Chip Capacitor - Standard"
"C15","C0805","TopLayer","0805","1277.000","1820.000","180","Ceramic Chip Capacitor - Standard"
"C16","C0603","TopLayer","0603","1280.000","1750.000","180","Ceramic Chip Capacitor - Standard"
"C17","C0603","BottomLayer","0603","2475.000","1405.000","0","Ceramic Chip Capacitor - Standard"
"C18","C0603","TopLayer","0603","1770.000","1525.000","180","Ceramic Chip Capacitor - Standard"
