21.04.2024 22:26:34; Receiver; ??0??I; RxString
21.04.2024 22:44:52; Receiver; ??0??I; RxString
21.04.2024 22:44:55; lomi; ??0??I; lomi
21.04.2024 22:46:07; Receiver; ??0??I; RxString
21.04.2024 22:46:08; lomi; ??0??I; lomi
21.04.2024 23:27:31; Receiver; Cross-thread operation not valid: Control 'txtVeliki' accessed from a thread other than the thread it was created on.; Greska
21.04.2024 23:28:32; lomi; novi dogadjaj\nadresa citaca: 1\nkartica nije validna\nbroj kartice: 55\n------------------------\n; lomi
21.04.2024 23:28:39; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:30:21; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:31:08; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:32:57; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:22; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:50; Receiver; Value was either too large or too small for an unsigned byte.; Greska
1.5.2024. 16:50:20; ; comrec2; 12541616420
1.5.2024. 16:52:52; ; comrec2; 1-254-1-6-164-2-0
1.5.2024. 16:56:12; card:696332288; comrec2; 1-254-1-6-164-2-0
1.5.2024. 17:11:08; card:309761; comrec2; 1-254-1-2-178-6-1
02.05.2024 16:13:48; card:696332288; comrec2; 1-254-1-6-164-2-0
02.05.2024 16:14:26; card:696332288; comrec2; 1-254-1-6-164-2-0
02.05.2024 16:17:20; card:696332288; comrec2; 1-254-1-6-164-2-0
02.05.2024 18:36:27; card:3185363; comrec0; StartIndex cannot be less than zero.
Parameter name: startIndex
05.05.2024 00:09:35; card:2077611; comrec2; 1-254-1-6-164-2-0
05.05.2024 00:10:05; card:3185363; comrec2; 1-254-1-6-164-2-0
05.05.2024 08:52:57; card:109888; comrec1; 254-1-3-163-1-6-1
20. 5. 2024. 10:34:46; card:0; comrec1; 0-0-0-0-0-0-0
20. 5. 2024. 10:34:47; card:0; comrec1; 0-0-0-0-0-0-0
20. 5. 2024. 10:34:47; card:0; comrec1; 0-0-0-0-0-0-0
20. 5. 2024. 10:50:35; card:0; comrec1; 96-251-225-206-165-234-254
20. 5. 2024. 10:52:38; card:0; comrec1; 129-254-226-132-164-193-254
20. 5. 2024. 10:52:38; card:0; comrec1; 0-0-0-0-0-0-0
20. 5. 2024. 12:22:53; card:0; comrec1; 255-0-0-0-0-0-0
20. 5. 2024. 12:22:57; card:0; comrec1; 255-0-0-0-0-0-0
20. 5. 2024. 12:22:57; card:0; comrec1; 247-255-255-255-222-223-255
20. 5. 2024. 12:22:59; card:0; comrec1; 252-0-0-0-0-0-0
20. 5. 2024. 12:23:02; card:0; comrec1; 222-255-255-0-0-0-0
20. 5. 2024. 12:23:02; card:0; comrec1; 238-0-0-0-0-0-0
20. 5. 2024. 12:23:02; card:0; comrec1; 238-0-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 255-0-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 118-0-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 255-182-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 182-0-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 183-182-182-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 183-183-182-183-183-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 183-0-0-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 183-182-183-182-183-183-0
20. 5. 2024. 12:23:03; card:0; comrec1; 223-183-183-0-0-0-0
20. 5. 2024. 12:23:03; card:0; comrec1; 255-183-183-183-182-183-0
20. 5. 2024. 12:23:03; card:0; comrec1; 182-183-223-183-183-183-183
20. 5. 2024. 12:23:03; card:0; comrec1; 255-183-191-183-182-183-255
20. 5. 2024. 12:23:03; card:0; comrec1; 247-183-183-183-183-191-183
20. 5. 2024. 12:23:03; card:0; comrec1; 191-183-183-182-183-183-255
20. 5. 2024. 12:23:03; card:0; comrec1; 191-247-183-183-182-191-191
20. 5. 2024. 12:23:03; card:0; comrec1; 255-183-191-183-191-182-179
20. 5. 2024. 12:23:03; card:0; comrec1; 191-255-183-191-255-223-255
20. 5. 2024. 12:23:03; card:0; comrec1; 191-155-255-191-223-255-191
20. 5. 2024. 12:23:03; card:0; comrec1; 191-183-191-191-255-255-183
20. 5. 2024. 12:23:03; card:0; comrec1; 223-255-255-183-183-255-255
20. 5. 2024. 12:23:04; card:0; comrec1; 223-255-255-255-191-191-223
20. 5. 2024. 12:23:04; card:0; comrec1; 255-223-255-255-251-223-223
20. 5. 2024. 12:23:04; card:0; comrec1; 255-255-251-255-251-251-219
20. 5. 2024. 12:23:04; card:0; comrec1; 223-255-219-219-219-219-255
20. 5. 2024. 12:23:04; card:0; comrec1; 219-219-219-223-255-223-219
20. 5. 2024. 12:23:04; card:0; comrec1; 219-219-219-219-219-219-219
20. 5. 2024. 12:23:04; card:0; comrec1; 219-251-251-219-219-255-255
20. 5. 2024. 12:23:04; card:0; comrec1; 219-255-219-255-219-255-223
