28.04.2024 21:11:47; querHTTP; The underlying connection was closed: An unexpected error occurred on a send.; 
28.04.2024 21:12:38; querHTTP; The underlying connection was closed: An unexpected error occurred on a send.; 
28.04.2024 21:13:55; querHTTP; Invalid URI: The format of the URI could not be determined.; 
30.04.2024 22:55:51; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
30.04.2024 22:58:10; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
30.04.2024 22:59:51; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
30.04.2024 23:01:56; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
30.04.2024 23:03:56; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 2:55:12 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 2:55:17 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 2:56:56 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 2:59:32 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 3:01:32 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
5/1/2024 3:04:33 PM; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
1.5.2024. 15:24:13; querHTTP; The remote name could not be resolved: 'www.i-web.info'; 
1.5.2024. 15:24:49; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
1.5.2024. 15:33:51; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
1.5.2024. 15:34:55; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
1.5.2024. 15:50:01; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
1.5.2024. 15:50:30; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
02.05.2024 16:14:27; querHTTP; The remote server returned an error: (500) Internal Server Error.; 
02.05.2024 18:51:59; querHTTP; The remote name could not be resolved: 'www.i-web.info'; 
02.05.2024 18:52:06; querHTTP; The remote name could not be resolved: 'www.i-web.info'; 
02.05.2024 18:53:48; querHTTP; The remote name could not be resolved: 'www.i-web.info'; 
04.05.2024 19:43:26; querHTTP; Unable to connect to the remote server; 
04.05.2024 19:44:54; querHTTP; Unable to connect to the remote server; 
04.05.2024 19:51:59; querHTTP; Unable to connect to the remote server; 
04.05.2024 19:52:41; querHTTP; Unable to connect to the remote server; 
04.05.2024 20:02:49; querHTTP; Unable to connect to the remote server; 
